IID,PGS_RECORD_ID,PRS
HG00096,PGS000004,0.425
HG00097,PGS000004,0.021053
HG00099,PGS000004,-0.0449
HG00100,PGS000004,0.2024
HG00101,PGS000004,0.2292
HG00102,PGS000004,-0.7088
HG00103,PGS000004,0.871
HG00105,PGS000004,-1.2321
HG00106,PGS000004,-0.7021
HG00107,PGS000004,0.6275
HG00108,PGS000004,0.2817534
HG00109,PGS000004,0.2839
HG00110,PGS000004,0.03
HG00111,PGS000004,0.6056
HG00112,PGS000004,0.8048
HG00113,PGS000004,0.6007
HG00114,PGS000004,-0.2336
HG00115,PGS000004,0.6108
HG00116,PGS000004,0.553453
HG00117,PGS000004,-0.3883
HG00118,PGS000004,-0.6544
HG00119,PGS000004,0.5728
HG00120,PGS000004,0.710253448
HG00121,PGS000004,-1.0517
HG00122,PGS000004,-0.2902
HG00123,PGS000004,-0.0476466
HG00125,PGS000004,-0.3601
HG00126,PGS000004,0.0598534
HG00127,PGS000004,-0.3202
HG00128,PGS000004,-0.2292
HG00129,PGS000004,-0.0433
HG00130,PGS000004,-0.3115
HG00131,PGS000004,-0.4221
HG00132,PGS000004,0.5474
HG00133,PGS000004,-0.7953
HG00136,PGS000004,0.2699
HG00137,PGS000004,0.3611
HG00138,PGS000004,-0.5829
HG00139,PGS000004,0.00220000000000001
HG00140,PGS000004,-0.7871
HG00141,PGS000004,0.2812
HG00142,PGS000004,-0.4947
HG00143,PGS000004,-0.214725
HG00145,PGS000004,0.11
HG00146,PGS000004,0.0372529999999999
HG00148,PGS000004,-0.064125
HG00149,PGS000004,-0.0882469999999999
HG00150,PGS000004,-0.3655
HG00151,PGS000004,-0.5543
HG00154,PGS000004,-0.3977
HG00155,PGS000004,0.1092
HG00157,PGS000004,-0.184
HG00158,PGS000004,0.2678
HG00159,PGS000004,-0.0342999999999999
HG00160,PGS000004,0.3952
HG00171,PGS000004,0.5213
HG00173,PGS000004,0.3836
HG00174,PGS000004,0.8014
HG00176,PGS000004,-0.4334
HG00177,PGS000004,0.7238
HG00178,PGS000004,0.5363
HG00179,PGS000004,0.1233
HG00180,PGS000004,1.0749
HG00181,PGS000004,-1.0533
HG00182,PGS000004,0.0277999999999999
HG00183,PGS000004,0.0736534000000001
HG00185,PGS000004,1.0567
HG00186,PGS000004,0.8369
HG00187,PGS000004,-1.1885
HG00188,PGS000004,1.6534
HG00189,PGS000004,0.5148
HG00190,PGS000004,-0.6951
HG00231,PGS000004,-0.1523
HG00232,PGS000004,0.1806
HG00233,PGS000004,0.365975
HG00234,PGS000004,-0.2634
HG00235,PGS000004,0.8987
HG00236,PGS000004,0.2199
HG00237,PGS000004,0.2135
HG00238,PGS000004,0.963
HG00239,PGS000004,0.8234
HG00240,PGS000004,0.0969
HG00242,PGS000004,-0.1951
HG00243,PGS000004,-0.1906
HG00244,PGS000004,-0.169
HG00245,PGS000004,0.5856
HG00246,PGS000004,0.0707
HG00250,PGS000004,0.9213
HG00251,PGS000004,0.7358
HG00252,PGS000004,-0.2347
HG00253,PGS000004,0.2922
HG00254,PGS000004,0.800053
HG00255,PGS000004,-0.1268
HG00256,PGS000004,0.9621
HG00257,PGS000004,0.7041
HG00258,PGS000004,-0.2665
HG00259,PGS000004,-0.6189
HG00260,PGS000004,0.6285
HG00261,PGS000004,0.6407
HG00262,PGS000004,0.344
HG00263,PGS000004,0.8576
HG00264,PGS000004,-0.4457
HG00265,PGS000004,-0.3568
HG00266,PGS000004,0.4428
HG00267,PGS000004,0.5902
HG00268,PGS000004,-0.4888
HG00269,PGS000004,0.2708
HG00271,PGS000004,0.1135
HG00272,PGS000004,0.5214534
HG00273,PGS000004,-0.4016
HG00274,PGS000004,-0.3001
HG00275,PGS000004,0.0878
HG00276,PGS000004,0.6005
HG00277,PGS000004,0.0258
HG00278,PGS000004,0.4244
HG00280,PGS000004,-0.0843
HG00281,PGS000004,0.2524
HG00282,PGS000004,-0.452
HG00284,PGS000004,-0.106
HG00285,PGS000004,0.018
HG00288,PGS000004,0.3634
HG00290,PGS000004,-0.745
HG00304,PGS000004,0.3085
HG00306,PGS000004,-0.058
HG00308,PGS000004,0.0151533999999999
HG00309,PGS000004,-0.722
HG00310,PGS000004,-0.3511
HG00311,PGS000004,0.7079
HG00313,PGS000004,-0.3781
HG00315,PGS000004,1.0431
HG00318,PGS000004,0.2184
HG00319,PGS000004,-0.2786
HG00320,PGS000004,0.5353
HG00321,PGS000004,0.2133
HG00323,PGS000004,0.3044
HG00324,PGS000004,0.0328
HG00325,PGS000004,0.2147
HG00326,PGS000004,-0.1497
HG00327,PGS000004,-0.3031
HG00328,PGS000004,-0.2713
HG00329,PGS000004,0.8464
HG00330,PGS000004,1.1923
HG00331,PGS000004,0.7588
HG00332,PGS000004,0.022726
HG00334,PGS000004,0.5666534
HG00335,PGS000004,-0.2151
HG00336,PGS000004,0.1947
HG00337,PGS000004,1.004
HG00338,PGS000004,0.0847000000000001
HG00339,PGS000004,-0.2764
HG00341,PGS000004,-0.1303
HG00342,PGS000004,0.7942
HG00343,PGS000004,-0.0466466
HG00344,PGS000004,0.1131
HG00345,PGS000004,0.412
HG00346,PGS000004,-0.00510000000000006
HG00349,PGS000004,-0.5349
HG00350,PGS000004,-0.0683000000000001
HG00351,PGS000004,-1.2448
HG00353,PGS000004,-0.6706
HG00355,PGS000004,0.6423
HG00356,PGS000004,0.7371
HG00357,PGS000004,0.1456
HG00358,PGS000004,-1.1088
HG00360,PGS000004,-0.4205
HG00361,PGS000004,-1.2987
HG00362,PGS000004,0.859
HG00364,PGS000004,-0.1664
HG00365,PGS000004,-0.1204
HG00366,PGS000004,-0.256
HG00367,PGS000004,-0.105
HG00368,PGS000004,0.3723
HG00369,PGS000004,0.1452
HG00371,PGS000004,0.3619
HG00372,PGS000004,-0.4
HG00373,PGS000004,-0.54
HG00375,PGS000004,-0.6831
HG00376,PGS000004,0.077026
HG00378,PGS000004,0.757
HG00379,PGS000004,-0.6647
HG00380,PGS000004,0.5059
HG00381,PGS000004,-0.6067
HG00382,PGS000004,0.1802
HG00383,PGS000004,1.029553
HG00384,PGS000004,-0.2403
HG01334,PGS000004,0.5712
HG01500,PGS000004,-0.4668
HG01501,PGS000004,-0.0218
HG01503,PGS000004,0.4546
HG01504,PGS000004,-0.5461
HG01506,PGS000004,-0.2153
HG01507,PGS000004,0.0745
HG01509,PGS000004,-0.1506
HG01510,PGS000004,-0.2448
HG01512,PGS000004,0.48
HG01513,PGS000004,0.0621000000000001
HG01515,PGS000004,0.2816
HG01516,PGS000004,0.4568
HG01518,PGS000004,-0.5958
HG01519,PGS000004,-0.6634
HG01521,PGS000004,0.6167
HG01522,PGS000004,0.3522
HG01524,PGS000004,0.0515
HG01525,PGS000004,0.6531
HG01527,PGS000004,1.136
HG01528,PGS000004,0.7994
HG01530,PGS000004,0.6487
HG01531,PGS000004,-0.2545
HG01536,PGS000004,-0.9439
HG01537,PGS000004,0.4034
HG01602,PGS000004,-0.3536
HG01603,PGS000004,0.8436
HG01605,PGS000004,0.1307
HG01606,PGS000004,0.6895
HG01607,PGS000004,-0.5005
HG01608,PGS000004,0.0741
HG01610,PGS000004,0.4589
HG01612,PGS000004,0.8094
HG01613,PGS000004,0.3442
HG01615,PGS000004,-0.2543
HG01617,PGS000004,-0.0618
HG01618,PGS000004,0.3623
HG01619,PGS000004,1.0455
HG01620,PGS000004,1.0613
HG01623,PGS000004,-0.5743
HG01624,PGS000004,-0.4382
HG01625,PGS000004,0.5412
HG01626,PGS000004,-0.8982
HG01628,PGS000004,-0.6058466
HG01630,PGS000004,-0.5406
HG01631,PGS000004,0.0307
HG01632,PGS000004,0.305
HG01668,PGS000004,0.4789
HG01669,PGS000004,-0.1277
HG01670,PGS000004,1.2225
HG01672,PGS000004,0.5096
HG01673,PGS000004,0.1216
HG01675,PGS000004,-0.3714
HG01676,PGS000004,0.0418
HG01678,PGS000004,-0.5981
HG01679,PGS000004,0.3619
HG01680,PGS000004,0.1259
HG01682,PGS000004,1.1002
HG01684,PGS000004,-1.7693
HG01685,PGS000004,0.3135
HG01686,PGS000004,0.1304
HG01694,PGS000004,1.0318
HG01695,PGS000004,-0.3318
HG01697,PGS000004,0.4651
HG01699,PGS000004,0.3814
HG01700,PGS000004,-1.2175
HG01702,PGS000004,-0.3105
HG01704,PGS000004,0.8836
HG01705,PGS000004,0.2775
HG01707,PGS000004,0.428
HG01708,PGS000004,0.9069
HG01709,PGS000004,-0.5307
HG01710,PGS000004,-0.5324
HG01746,PGS000004,0.4868
HG01747,PGS000004,-0.4136
HG01756,PGS000004,0.305
HG01757,PGS000004,-0.3439
HG01761,PGS000004,0.4722
HG01762,PGS000004,-0.5869
HG01765,PGS000004,0.2908
HG01766,PGS000004,0.4301
HG01767,PGS000004,0.4674
HG01768,PGS000004,-0.7139
HG01770,PGS000004,0.166
HG01771,PGS000004,0.2871
HG01773,PGS000004,-0.8313
HG01775,PGS000004,-0.0309
HG01776,PGS000004,-0.9567
HG01777,PGS000004,-1.3193
HG01779,PGS000004,-0.8002
HG01781,PGS000004,1.4323
HG01783,PGS000004,0.3644
HG01784,PGS000004,-1.0101
HG01785,PGS000004,0.1481
HG01786,PGS000004,-0.8589
HG01789,PGS000004,0.118
HG01790,PGS000004,0.2124
HG01791,PGS000004,-0.1551
HG02215,PGS000004,0.5306
HG02219,PGS000004,-0.6066
HG02220,PGS000004,0.5339
HG02221,PGS000004,0.5081
HG02223,PGS000004,0.00190000000000004
HG02224,PGS000004,-0.1005
HG02230,PGS000004,-0.4889
HG02231,PGS000004,-0.7188
HG02232,PGS000004,0.3163
HG02233,PGS000004,-0.317
HG02235,PGS000004,-0.299
HG02236,PGS000004,-0.2596
HG02238,PGS000004,0.4002
HG02239,PGS000004,0.3488
NA06984,PGS000004,0.0629
NA06985,PGS000004,0.4747
NA06986,PGS000004,0.4122
NA06989,PGS000004,-0.2172
NA06994,PGS000004,-1.522
NA07000,PGS000004,0.406153
NA07037,PGS000004,0.5815534
NA07048,PGS000004,0.1939
NA07051,PGS000004,-0.7109
NA07056,PGS000004,-0.0404
NA07347,PGS000004,0.0498
NA07357,PGS000004,0.7427
NA10847,PGS000004,0.851996
NA10851,PGS000004,0.3624
NA11829,PGS000004,-1.0634
NA11830,PGS000004,0.676253
NA11831,PGS000004,-0.2389
NA11832,PGS000004,0.0575
NA11840,PGS000004,-0.9634
NA11843,PGS000004,1.0376
NA11881,PGS000004,0.4019
NA11892,PGS000004,0.3132
NA11893,PGS000004,1.0135
NA11894,PGS000004,-0.1149
NA11918,PGS000004,0.0756
NA11919,PGS000004,0.2786
NA11920,PGS000004,0.1432
NA11930,PGS000004,1.1566
NA11931,PGS000004,0.1097
NA11932,PGS000004,-0.5885
NA11933,PGS000004,-0.371
NA11992,PGS000004,0.7429
NA11994,PGS000004,-0.1049
NA11995,PGS000004,0.6789
NA12003,PGS000004,0.6255
